iter	Passed	Remaining
0	1	134
1	2	122
2	3	116
3	4	107
4	5	106
5	6	104
6	7	104
7	9	104
8	10	103
9	11	102
10	12	101
11	13	99
12	14	98
13	15	97
14	16	95
15	18	94
16	19	93
17	20	92
18	21	91
19	22	91
20	23	90
21	25	89
22	26	87
23	27	86
24	28	85
25	29	84
26	30	83
27	32	82
28	33	81
29	34	80
30	36	80
31	38	81
32	40	81
33	41	81
34	43	81
35	44	79
36	45	78
37	46	76
38	47	74
39	49	73
40	50	72
41	50	69
42	51	68
43	52	67
44	53	65
45	55	64
46	56	63
47	57	62
48	58	60
49	59	59
50	65	62
51	66	61
52	68	60
53	69	59
54	70	57
55	71	56
56	73	55
57	74	53
58	76	53
59	77	51
60	78	50
61	79	48
62	80	47
63	82	46
64	83	44
65	84	43
66	85	42
67	86	40
68	88	39
69	89	38
70	90	37
71	91	35
72	93	34
73	94	33
74	96	32
75	100	31
76	101	30
77	102	29
78	104	27
79	105	26
80	106	25
81	108	23
82	109	22
83	111	21
84	113	19
85	114	18
86	116	17
87	117	16
88	118	14
89	119	13
90	120	11
91	121	10
92	123	9
93	124	7
94	126	6
95	127	5
96	128	3
97	130	2
98	131	1
99	132	0
